full_text,clean_text,Sentiment
@infokespro @PTKAI @YLKI Selamat malam Kak. Pemesanan tiket KA Commuter Line Merak tidak terdapat fitur pilih kursi ya. Apabila saat pemesanan tiket KA tersebut dengan keterangan tanpa nomor kursi penumpang dapat menempati bangku yang kosong (selama masih tersedia). Jika ada pelanggan yang duduknya,infokespro ptkai ylki selamat malam kak mesan tiket ka commuter line merak dapat fitur pilih kursi apabila mesan tiket ka sebut terang nomor kursi tumpang tempat bangku kosong lama sedia ada langgan duduk,neutral
Commuterline Merak sejak 1/2/2025 tdk pakai nmr tempat duduk celakanya ada yg memanfaatkan misalnya baringkan anak sehingga tdk bisa buat pemumpamg lain ....@PTKAI @CommuterLine @ylki,commuterline merak sejak tdk pakai nmr tempat duduk celaka yg manfaat misal baring anak tdk buat pemumpamg ptkai commuterline ylki,neutral
Kereta api Sancaka Utara resmi beroperasi layani rute Surabaya - Cilacap ANTARA FOTO/Didik Suhartono #keretaapi #ptkai #surabayacilacap Lihat selengkapnya: https://t.co/qkPHildm1Z https://t.co/F9Zt3Vfwlm,kereta api sancaka utara resmi operasi layan rute surabaya cilacap fotodidik suhartono keretaapi ptkai surabayacilacap lihat lengkap httpstcoqkphildmz httpstcofztvfwlm,neutral
PT KAI Daop 6 Yogyakarta mulai besok (Kamis 1/2/2025) memberlakukan Gapeka (Grafik Perjalanan Kereta Api) yang baru. #Gapeka #KeretaKAI #PTKAI #Daop6 #Yogyakarta https://t.co/6eDIHx8BMm,pt kai daop yogyakarta mulai besok kamis laku gapeka grafik jalan kereta api baru gapeka keretakai ptkai daop yogyakarta httpstcoedihxbmm,neutral
Mention cokoncomu seng biasa numpak sepur Cah! #foto ko hene @marmer.official_85 @abdulrosyid_m #KacamataTulungagung #Tulungagung #KeretaApi #KeretaApiIndonesia #KAI #PTKAI #Railfan #Railfans https://t.co/i4SaaOoStH,mention cokoncomu seng biasa numpak sepur cah foto ko hene marmerofficial abdulrosyid m kacamatatulungagung tulungagung keretaapi keretaapiindonesia kai ptkai railfan railfans httpstcoisaaoosth,neutral
@PSHT_Indonesia ptkai @TheRealYossie https://t.co/yjhkDQwPYz,psht indonesia ptkai therealyossie httpstcoyjhkdqwpyz,neutral
https://t.co/1ZSYK03yXC ptkai,httpstcozsykyxc ptkai,positive
KAI Sampaikan Permohonan Maaf Keterlambatan Dampak Banjir di Daop 4 Semarang #beritanasional #selasa #PTKAI #KAI #permohonanmaaf #banjir #daop4semarang #semarang https://t.co/vip1mhAW8Q,kai sampai mohon maaf lambat dampak banjir daop semarang beritanasional selasa ptkai kai permohonanmaaf banjir daopsemarang semarang httpstcovipmhawq,neutral
Poin-poin Penting PT KAI soal Kerusakan Rel setelah Banjir di Grobogan #beritanasional #selasa #PTKAI #rel #grobogan #keretaapi #banjir #sungaituntang #kerusakanrel #KAI https://t.co/fD64PftQf4,poinpoin penting pt kai soal rusa rel banjir grobogan beritanasional selasa ptkai rel grobogan keretaapi banjir sungaituntang kerusakanrel kai httpstcofdpftqf,neutral
Di balik citra positif Pak Jonan yang tak lekang oleh waktu #jonan #ignasiusjonan #dedimulyadi #ptkai #menhub #prabowo #sulistyowimbohardjito #infografis #politikindonesia #beritapolitik #beritapolitikterkini https://t.co/tYFYmA2k8s,balik citra positif pak jonan tak lekang waktu jonan ignasiusjonan dedimulyadi ptkai menhub prabowo sulistyowimbohardjito infografis politikindonesia beritapolitik beritapolitikterkini httpstcotyfymaks,neutral
#konteksnews - Setelah melalui proses panjang gugatan Keraton Yogyakarta terhadap PT KAI terkait lahan Stasiun Tugu Tesmi akhirnya mencapai titik damai. #DamaiUntukYogyakarta #KeratonYogyakarta #PTKAI #KeratonYogyakarta #PTKAI #TuguTesmi #LahanStasiunTugu #Damai #Kolaborasi https://t.co/V2HQnoPuiy,konteksnews lalu proses panjang gugat keraton yogyakarta pt kai kait lahan stasiun tugu tesmi akhir capai titik damai damaiuntukyogyakarta keratonyogyakarta ptkai keratonyogyakarta ptkai tugutesmi lahanstasiuntugu damai kolaborasi httpstcovhqnopuiy,neutral
Digas no ke jalur selatan @jalur5_ #gubugkarangjati #jalurutara #ptkai https://t.co/nn46BNzvWS,gas no jalur selatan jalur gubugkarangjati jalurutara ptkai httpstconnbnzvws,neutral
@KAI121 @PTKAI Salut PT KAI sekarang jauh lebih nyaman dibanding 10 thn lalu tidak manusiawi. Tapi serem amat tiap 5 menit diumumkan hati2 pelecehan seksual. Seolah isinya bajingan semua dan securitynya tulalit semua ga bisa kasih rasa nyaman dikit itu toa,kai ptkai salut pt kai sekarang jauh lebih nyaman banding thn lalu manusiawi rem tiap menit umum hati leceh seksual isi bajing semua securitynya tulalit semua ga kasih rasa nyaman dikit toa,negative
Mengucapkan Selamat Ulang tahun ke 1 KA Papandayan 24 Januari 2024 - 24 Januari 2025 #ptkai #dirgahayu,ucap selamat ulang tahun ka papandayan januari januari ptkai dirgahayu,neutral
Simak 7 Langkah PT KAI dalam Memperbaiki Jalur Pascabanjir di Grobogan @KAI121 @erickthohir @KemenBUMN https://t.co/D9bWtkXmKX #grobogan #kabargrobogan #ptkai #kabarterdepan,simak langkah pt kai baik jalur pascabanjir grobogan kai erickthohir kemenbumn httpstcodbwtkxmkx grobogan kabargrobogan ptkai kabarterdepan,neutral
[5-end] panjang selalu terjadi kenaikan jumlah penumpang kereta api karena tingginya antusias dari masyarakat. [april] #PatriaNews #InfoPatria #RadioPatria #Blitar #PTKAI #KAI #Daop7Madiun #StasiunBlitar #StasiunJombang #KeretaApi #TiketKA #KAIAccess #LiburIsraMiraj #LiburImlek,end panjang selalu jadi naik jumlah tumpang kereta api tinggi antusias masyarakat april patrianews infopatria radiopatria blitar ptkai kai daopmadiun stasiunblitar stasiunjombang keretaapi tiketka kaiaccess liburisramiraj liburimlek,neutral
Nggak mau bye-bye PT KAI bakal menghentikan layanan Kereta Api (KA) legendaris Argo Parahyangan. Sebagai gantinya KAI menyiapkan KA Parahyangan yang lebih terjangkau. #argoparahyangan #KAI #PTKAI #keretaapi #bandung #jakarta #detikfinance https://t.co/8lXffCHOW7,mau byebye pt kai bakal henti layan kereta api ka legendaris argo parahyangan ganti kai siap ka parahyangan lebih jangkau argoparahyangan kai ptkai keretaapi bandung jakarta detikfinance httpstcolxffchow,neutral
stasiun KA Malang sdh bagus. cuma sayang pengumuman dari pengeras suara tidak jelas...sayang sekali speakernya spt ini tolong di perbaiki kualitas suaranya @PTKAI @infomalang @cityguide911fm @yusufgunawan https://t.co/jAH44nRlnM,stasiun ka malang sdh bagus cuma sayang umum keras suara jelassayang sekali speakernya spt tolong baik kualitas suara ptkai infomalang cityguidefm yusufgunawan httpstcojahnrlnm,positive
[5] Daop 7 Madiun. Kondisi ini menyebabkan adanya tambahan frekuensi operasional KA di luar jadwal reguler. [april] #PatriaNews #InfoPatria #RadioPatria #Blitar #Semarang #Surabaya #PTKAI #KAI #Daop7Madiun #StasiunBlitar #StasiunGubug #StasiunKarangjati #KeretaApi #PerjalananKA,daop madiun kondisi sebab ada tambah frekuensi operasional ka luar jadwal reguler april patrianews infopatria radiopatria blitar semarang surabaya ptkai kai daopmadiun stasiunblitar stasiungubug stasiunkarangjati keretaapi perjalananka,neutral
@YourAnonVD @PTKAI @PTKAIIndonesia Ciuuus...,youranonvd ptkai ptkaiindonesia ciuuus,positive
Buat @mentriperhubungan @PTKAI @PTKAIIndonesia,buat mentriperhubungan ptkai ptkaiindonesia,neutral
Intensitas Perjalanan KA Semarang-Jakarta Bertambah. #keretaapi #PTKAI #KAI #ptkeretaapiindonesia #semarang #Jakarta https://t.co/txP6pH0b4e https://t.co/fXk4Q4Hm5b,intensitas jalan ka semarangjakarta tambah keretaapi ptkai kai ptkeretaapiindonesia semarang jakarta httpstcotxpphbe httpstcofxkqhmb,neutral
Kasian semuanya.. Pdhl enak kalau bisa turun hirup udara segar sebentar @PTKAI. Coba ditinjau ulang kebijakannya,kasi semua pdhl enak kalau turun hirup udara segar sebentar ptkai coba tinjau ulang bijak,positive
Di angkot JakLingko bbrp penumpang Lansia sebut ada kartu khusus Lansia untuk Commuterline (KRL) kata mrk bisa diurus di Sta Sudirman .... Mohon info .... @PTKAI @CommuterLine @YLKI_ID,angkot jaklingko bbrp tumpang lansia sebut kartu khusus lansia commuterline krl kata mrk urus sta sudirman mohon info ptkai commuterline ylki id,neutral
Siap-siap long weekend! KAI sediakan kereta tambahan buat kamu yang mau liburan! Cek rute dan jadwalnya di sini! #PTKAI #KeretaApi #Informasi #MedcomId #MudaMemberiArti https://t.co/M9qFrw0hWV,siapsiap long weekend kai sedia kereta tambah buat kamu mau libur cek rute jadwal sini ptkai keretaapi informasi medcomid mudamemberiarti httpstcomqfrwhwv,neutral
@beloveddara @MrOngDedy @PTKAI @KAI121 Jangan mention. Pelayanan negara miskin emang jelek tapi sok suruh lapor ke kai ,beloveddara mrongdedy ptkai kai jangan mention layan negara miskin emang jelek sok suruh lapor kai,negative
@MrOngDedy @PTKAI Geli bgt liat kelakuannya keliatan kalo org pcrn. Anjir mau gw semprot aja mereka. Besok lgi di cek lah penumpangnya sesuai seat ga jgn wira wiri doang konduktur @KAI121,mrongdedy ptkai geli bgt liat laku liat kalo org pcrn anjir mau gw semprot aja besok lgi cek lah tumpang sesuai seat ga jgn wira wiri doang konduktur kai,negative
@MrOngDedy Ga sopan bgt nunjuk aja congornya ga mangap ngomong sama sekali. Laki gw krna ga enakan maybe dia iya² aja pdhl gw udh mangap mau protes. Kata dia 'udh biarin'. Pdhl nyari seat yg sederet gitu susah pikirnya biar anak kita wara wiri nya enak. Penumpang lo tolong @PTKAI,mrongdedy ga sopan bgt nunjuk aja congor ga mangap ngomong sama sekali laki gw krna ga enak maybe iya aja pdhl gw udh mangap mau protes kata udh biarin pdhl nyari seat yg deret gitu susah pikir biar anak wara wiri nya enak tumpang lo ptkai,negative
@KAI121 Kl ke jogya kursinya ekonomi seperti itu atau bukan ya trus kl pesan tiket tuk rombangan d customer service atau ptkai access ya.,kai kl jogya kursi ekonomi itu bukan trus kl pesan tiket tuk rombangan d customer service ptkai access,neutral
Perancang dan pembuat gerbongnya bodoh insinyur lulusan mana itu? Bodoh semua seperti belum pernah bikin gerbong. @PTKAI @InkaProduction Kemenhub akan Evaluasi PT KAI dan PT INKA soal Kereta Api yang Hampir Tak Muat Masuk Terowongan https://t.co/cwj4XPCM6b,ancang buat gerbong bodoh insinyur lulus mana bodoh semua belum pernah bikin gerbong ptkai inkaproduction kemenhub evaluasi pt kai pt inka soal kereta api hampir tak muat masuk terowongan httpstcocwjxpcmb,negative
Ga bahaya niehh? @KPK_RI @KejaksaanRI #rudiasatturidhaout #dirutkai #ptkai #tolakrudiasaturridha https://t.co/EnVLjS7gyR,ga bahaya niehh kpk ri kejaksaanri rudiasatturidhaout dirutkai ptkai tolakrudiasaturridha httpstcoenvljsgyr,neutral
akun cenblu cepu ke ptkai,akun cenblu cepu ptkai,neutral
@JangDikeee @MurtadhaOne1 @PTKAI @KAI121 @KemenBUMN @erickthohir @pt_inka @prabowo @JangDikeee siapa yg mengelola Terowongan dari 1902 itu di seperempat Abad 21?,jangdikeee murtadhaone ptkai kai kemenbumn erickthohir pt inka prabowo jangdikeee siapa yg kelola terowongan itu empat abad,neutral
@MurtadhaOne1 @PTKAI @KAI121 @KemenBUMN @erickthohir koq bisa @PTKAI @KAI121 itu siapa yg bwt TEROWONGAN Kereta Api yg gak muat gerbong produk @pt_inka Emang gak janjian gituh? Presiden @prabowo tolong serius PERHATIKAN BUMN-BUMN Indonesia Pak Kapan ada BUMN yg seriously World Class? https://t.co/ZdU7ZMGwz6,murtadhaone ptkai kai kemenbumn erickthohir koq ptkai kai siapa yg bwt terowongan kereta api yg gak muat gerbong produk pt inka emang gak janji gituh presiden prabowo serius perhati bumnbumn indonesia pak kapan bumn yg seriously world class httpstcozduzmgwz,positive
Yang terhormat @PTKAI mohon agar pengerjaan rel kereta tidak pada jam aktivitas mastarakat ini sangat mengganggu. Lokasi perlintasan kereta desa jengkok kertasemaya indramayu https://t.co/WeupW07OU6,hormat ptkai mohon kerja rel kereta pada jam aktivitas mastarakat sangat ganggu lokasi lintas kereta desa jengkok kertasemaya indramayu httpstcoweupwou,neutral
@jancooeek kalo pak jonan ga ngerombak @PTKAI pasti jadi gini wkwkwkw,jancooeek kalo pak jonan ga ngerombak ptkai jadi gin wkwkwkw,negative
@nanto0000 #Bandung #ciwidey #PTKAI hayu min gaskan,nanto bandung ciwidey ptkai hayu min gas,positive
#djka #dishub #ptkai Tolong reaktivasi jalur ka Bandung-Ciwidey secepatnya https://t.co/7BbRysVBvr,djka dishub ptkai reaktivasi jalur ka bandungciwidey cepat httpstcobbrysvbvr,neutral
 Apakah kamu pengguna setia kereta api? Bagikan pengalaman kamu di kolom komentar! #PTKAI #KeretaApiIndonesia #TransportasiIndonesia #KeretaCepat #InovasiTransportasi @KAI121 @keretaapikita,kamu guna setia kereta api bagi alam kamu kolom komentar ptkai keretaapiindonesia transportasiindonesia keretacepat inovasitransportasi kai keretaapikita,positive
Wow! KAI Group sukses layani 20 9 juta penumpang selama periode Nataru 2024/2025. Ada yang ikutan mudik pake kereta juga? #PTKAI #KeretaApi #MedcomId #MudaMemberiArti https://t.co/vqezuUwYrp,wow kai group sukses layan juta tumpang lama periode nataru yang ikut mudik pake kereta ptkai keretaapi medcomid mudamemberiarti httpstcovqezuuwyrp,neutral
Diintegrasikan ke Stasiun BNI City KAI: Bukan Berarti Stasiun Karet Dibongkar https://t.co/tkSfLkSp3t #stasiunkaret #krl #ptkai #keretaapi #stasiunkrl https://t.co/5Wwdg4GMQ3,integrasi stasiun bni city kai bukan arti stasiun karet bongkar httpstcotksflkspt stasiunkaret krl ptkai keretaapi stasiunkrl httpstcowwdggmq,neutral
PT KAI: Tiket Kereta Api Februari 2025 Sudah Bisa Dipesan Mulai Hari Ini https://t.co/kCknfdYOnG #TiketKeretaApi2025 #TiketKerefaApi #PTKAI #AccessbyKAI,pt kai tiket kereta api februari bisa pes mulai hari httpstcokcknfdyong tiketkeretaapi tiketkerefaapi ptkai accessbykai,neutral
[7] Daop 7 Madiun telah melayani 272.231 pelanggan KA yang naik &amp; turun. [april] #PatriaNews #InfoPatria #RadioPatria #InfoKA #PTKAI #KAI #KeretaApi #Daop7Madiun #StasiunBlitar #StasiunMadiun #StasiunKertosono #StasiunKediri #StasiunJombang #StasiunTulungagung,daop madiun layan langgan ka naik amp turun april patrianews infopatria radiopatria infoka ptkai kai keretaapi daopmadiun stasiunblitar stasiunmadiun stasiunkertosono stasiunkediri stasiunjombang stasiuntulungagung,neutral
Perjalanan tetap aman kenaikan PPN 1% tidak pengaruhi harga tiket kereta api. #PPN #KenaikanPPN #KeretaApi #PTKAI #KAI https://t.co/x6vU7P4B76,jalan tetap aman naik ppn pengaruh harga tiket kereta api ppn kenaikanppn keretaapi ptkai kai httpstcoxvupb,neutral
Perjalanan tetap aman kenaikan PPN 1% tidak pengaruhi harga tiket kereta api. #PPN #KenaikanPPN #KeretaApi #PTKAI #KAI https://t.co/B8tiZTHsxs,jalan tetap aman naik ppn pengaruh harga tiket kereta api ppn kenaikanppn keretaapi ptkai kai httpstcobtizthsxs,neutral
Perjalanan tetap aman kenaikan PPN 1% tidak pengaruhi harga tiket kereta api. #PPN #KenaikanPPN #KeretaApi #PTKAI #KAI https://t.co/4DWxgDaQNH,jalan tetap aman naik ppn pengaruh harga tiket kereta api ppn kenaikanppn keretaapi ptkai kai httpstcodwxgdaqnh,neutral
@Enduro47428434 @KAI121 @PTKAI Toiletnya juga di jurangmangu lucu. Buat buang air kecil cowok tinggi2 banget. Harus jinjit wkwkwkwk,enduro kai ptkai toilet di jurangmangu lucu buat buang air kecil cowok tinggi banget jinjit wkwkwkwk,negative
@KAI121 @PTKAI Stasiun juanda jkt aneh bgt. Jalan dari istiqlal udah naik tangga harus turun lagi karena gatenya difungsikan cuma buat keluar. Abis turun tangga naik lagi. Buang2 waktu dan tenaga. Eskalatornya cuma turun. Kalau naik pake tangga. Hadeh. Nyiksa penataannya,kai ptkai stasiun juanda jkt aneh bgt jalan istiqlal udah naik tangga turun karena gatenya fungsi cuma buat keluar abis turun tangga naik buang waktu tenaga eskalator cuma turun kalau naik pake tangga hadeh nyiksa tata,negative
Jelang Libur Natal PT KAI: 38.160 Tiket Kereta Terjual Hari Ini https://t.co/fRaQuFM4xg #PTKAI #Daop1Jakarta #TiketKeretaApi #KeretaApiJarakJauh #LiburNataldanTahunBaru,jelang libur natal pt kai tiket kereta jual hari httpstcofraqufmxg ptkai daopjakarta tiketkeretaapi keretaapijarakjauh liburnataldantahunbaru,neutral
Keterisian Tiket KA Capai 94 Persen Penumpang Padati Stasiun Pasar Senen di Puncak Mudik Libur Nataru https://t.co/YfVKtezuyI #PuncakMudikLiburNataru #PenumpangKeretaApi #PTKAI #IxfanHendriwintoko,isi tiket ka capai persen tumpang padat stasiun pasar senen puncak mudik libur nataru httpstcoyfvktezuyi puncakmudikliburnataru penumpangkeretaapi ptkai ixfanhendriwintoko,neutral
ternyata ptkai itu bukan pt kereta artificial intelligence,nyata ptkai bukan pt kereta artificial intelligence,neutral
#Foto PT KAI bersiap menghadapi libur Nataru. Mereka akan mengoperasikan 52 KA tambahan untuk perjalanan jarak menengah dan jauh. &gt;&gt; https://t.co/jVicqcgt6C Foto: ANTARA FOTO/Muhammad Adimaja #detikfinance #PTKAI #Nataru #KeretaApi https://t.co/6YoTB8vWGP,foto pt kai siap hadap libur nataru akan operasi ka tambah jalan jarak tengah jauh gtgt httpstcojvicqcgtc foto fotomuhammad adimaja detikfinance ptkai nataru keretaapi httpstcoyotbvwgp,neutral
Alhamdulillah Akhirnya perlintasan KA dijalan Baureno - Bojonegoro diaspal. Jalannya jdi lancar. Terima kasih @PTKAI,alhamdulillah akhir lintas ka jalan baureno bojonegoro aspal jalan jdi lancar terima kasih ptkai,positive
Naik KRL jadi cepat Naik KRL jadi Lama Nunggu KRL arah Bogor dari jam 05.15 sampai jam 06.28 di jam kerja ‍ #PTKAI #KAI #KRL #KAI212 #KRLBIKINTELAT #KRLLAMA #Commuterline,naik krl jadi cepat naik krl jadi lama nunggu krl arah bogor jam jam jam kerja ptkai kai krl kai krlbikintelat krllama commuterline,positive
Sudah seminggu lebih kondisi jalan di pintu perlintasan KA Baureno Bojonegoro macet imbas perbaikan dan belum diaspal ulang. Bahkan sudah memakan korban jiwa. Sampai kapan ini @ptkai ? https://t.co/My39NXC9ZQ,minggu lebih kondisi jalan pintu lintas ka baureno bojonegoro macet imbas baik belum aspal ulang bahkan makan korban jiwa kapan ptkai httpstcomynxczq,neutral
Apa sih urgensi layanan direct servis Jkt - Semarang n Jakarta - Yogya. Kalo mau buat program 100 hr ya yg cerdas gitu lho. Memang disangkanya tdk ada dampak thdp keselamatan di perlintasan sebidang n dampak bisnisnya ya? CC : @kemenhub151 @PTKAI,apa sih urgensi layan direct servis jkt semarang n jakarta yogya kalo mau buat program hr yg cerdas gitu lho memang sangka tdk dampak thdp selamat lintas bidang n dampak bisnis cc kemenhub ptkai,neutral
KAI Daop 1 Jakarta Lakukan Upaya Peningkatan Jalur Kereta Api Imbas Banjir Rob Jakarta https://t.co/ca4hvEGa6c #BanjirRob #MuaraAngke #Ancol #PTKAI #JalurKeretaApi #KRL,kai daop jakarta laku upaya tingkat jalur kereta api imbas banjir rob jakarta httpstcocahvegac banjirrob muaraangke ancol ptkai jalurkeretaapi krl,neutral
Tiket Kereta Sudah Terjual 1 1 Juta Jelang Liburan Nataru 5 KA Ini Diburu Pelanggan #beritanasional #selasa #tiketkeretaapi #keretaapi #KAI #BUMN #PTKAI #nataru2024 #liburannataru https://t.co/T8TQWtgrCd,tiket kereta jual juta jelang libur nataru ka buru langgan beritanasional selasa tiketkeretaapi keretaapi kai bumn ptkai nataru liburannataru httpstcottqwtgrcd,neutral
Macet sebelum pintu timur stasiun Tugu Yogyakarta kirain proyek beautifikasi stasiun salah satu goalnya pas peak ga macet masuk stasiun. Ternyata malam ini macet hujan pula @PTKAI @KAI121 beautifikasi atau macetisasi ?,macet pintu timur stasiun tugu yogyakarta kirain proyek beautifikasi stasiun salah satu goalnya pas peak ga macet masuk stasiun nyata malam macet hujan ptkai kai beautifikasi macet,negative
PT KAI Sediakan Layanan Direct Train di Momentum Libur Nataru Berapa Tarifnya? https://t.co/8uSdurh9hy #DirectTrain #PTKAI #LiburNataru #TarifDirectTrain,pt kai sedia layan direct train momentum libur nataru berapa tarif httpstcousdurhhy directtrain ptkai liburnataru tarifdirecttrain,neutral
masa beli tiket di ptkai gak ada via bca,masa beli tiket ptkai gak via bca,neutral
Ide layanan KA langsung dr Jkt - Semarang n Jkt - Yogya tdk berhenti di stasiun2 jelas ide konyol dr orang yg tdk tau KA tapi punya kuasa. Siapa yg akan melayani mrk yg akan naik dari Cirebon Tegal Pekalongan Bumiayu Purwokerto Kebumen dll? CC: @kemenhub151 dan @PTKAI,ide layan ka langsung dr jkt semarang n jkt yogya tdk henti stasiun jelas ide konyol dr orang yg tdk tau ka punya kuasa siapa yg layan mrk yg naik cirebon tegal kalong bumiayu purwokerto kebumen cc kemenhub ptkai,negative
KAI Antisipasi Cuaca Ekstrem saat Nataru dengan Perkuat Bantalan Rel @KAI121 https://t.co/FTqmGET7KB #ptkai #cuacaekstrem #nataru #liburnataru #natal #tahunbaru,kai antisipasi cuaca ekstrem nataru kuat bantal rel kai httpstcoftqmgetkb ptkai cuacaekstrem nataru liburnataru natal tahunbaru,neutral
Pengen liburan akhir tahun naik kereta api? Yuk cek cara gampang pesan tiket lewat KAI Access tinggal klik tiket siap! #Tips #PTKAI #KeretaApi #MedcomId #MudaMemberiArti https://t.co/3SBoxssUBy,ken libur akhir tahun naik kereta api yuk cek cara gampang pesan tiket lewat kai access tinggal klik tiket siap tips ptkai keretaapi medcomid mudamemberiarti httpstcosboxssuby,neutral
Mulai 16 Desember 2024 LRT Uji Coba Gerbong Kereta Khusus Wanita https://t.co/KOtvOXg5IR #LRTJabodebek #PelecehanSeksual #PTKAI #GerbongKeretaWanita,mulai desember lrt uji coba gerbong kereta khusus wanita httpstcokotvoxgir lrtjabodebek pelecehanseksual ptkai gerbongkeretawanita,neutral
Jelang libur Natal dan tahun baru 2025 PT KAI telah menyiapkan 3 2 juta tiket. Namun PT Kereta Api Indonesia memastikan harga tiket kereta tidak mengalami penurunan seperti tiket pesawat yang mengalami penurunan sebesar 10% #PTKAI #KAI #KeretaApi #Liburan #Natal #TahunBaru2025 https://t.co/JooincmZKY,jelang libur natal tahun baru pt kai siap juta tiket pt kereta api indonesia pasti harga tiket kereta alami turun tiket pesawat alami turun besar ptkai kai keretaapi libur natal tahunbaru httpstcojooincmzky,neutral
Wah PT KAI nambahin waktu operasional LRT Jabodebek kabar baik nih buat yang biasa pulang malem! Gak ribet lagi deh #PTKAI #LRT #Jabodebek #MedcomId #MudaMemberiArti https://t.co/XCzt2TlpMp,wah pt kai nambahin waktu operasional lrt jabodebek kabar baik nih buat biasa pulang malem gak ribet deh ptkai lrt jabodebek medcomid mudamemberiarti httpstcoxczttlpmp,positive
Libur Natal Berikut Ini Harga Tiket Kereta Api Jurusan Jakarta-Surabaya #tiketkeretaapi #liburnatal #nataru #PTKAI Menjelang https://t.co/hx4RdKvrCQ via @tribunnews,libur natal ikut harga tiket kereta api jurus jakartasurabaya tiketkeretaapi liburnatal nataru ptkai jelang httpstcohxrdkvrcq via tribunnews,neutral
@astatika @SifayaNuri Kata nui kalo bulek udah sksd sama ptkai tandanya mau pulang,astatika sifayanuri kata nui kalo bulek udah sksd sama ptkai tanda mau pulang,neutral
@CommuterLine @KAI121 @keretaapikita @ptkai_rblx @AgungPodomoro @tenjo_zen @pocytenjo Akses dari timur ke barat pintu gerbang terlalu jauh ya tks,commuterline kai keretaapikita ptkai rblx agungpodomoro tenjo zen pocytenjo akses timur barat pintu gerbang terlalu jauh tks,neutral
